Trial,Condition,Steps,T1 (s),T2 (s),T3 (s),T4 (s),Time = (T2-T1)+(T4-T3),Errors,Notes
1,Manual,8,0:02,0:23,0:52,2:10,99,,
2,Platform,2,0:04,0:21,1:07,1:10,20,,
3,Manual,8,0:01,0:22,0:51,2:00,90,,
4,Platform,2,0:01,0:20,1:09,1:11,21,,
5,Manual,8,0:02,0:17,0:47,1:41,69,,
6,Platform,2,0:01,0:16,1:02,1:05,18,,
7,Manual,8,0:05,0:26,0:55,2:17,103,,
8,Platform,2,0:01,0:17,1:03,1:05,18,,
9,Manual,8,0:01,0:22,0:52,1:45,74,,
10,Platform,2,0:01,0:16,1:02,1:05,18,,
